"A00","Cholera"
"Z11.3","Special screening examination infection with predominantly sexual mode transmis"
"Z11.4","Special screening examination for human immunodeficiency virus [hiv]"
"Z11.5","Special screening examination for other viral diseases"
"Z11.6","Special screening examination for oth protozoal dis and helminthiases"
"Z11.8","Special screening examination for other infectious and parasitic diseases"
"Z11.9","Special screening examination for infectious and parasitic disease unspecified"
"Z12","Special screening examination for neoplasms"
"Z12.0","Special screening examination for neoplasm of stomach"
"Z12.1","Special screening examination for neoplasm of intestinal tract"
"Z12.2","Special screening examination for neoplasm of respiratory organs"
"Z12.3","Special screening examination for neoplasm of breast"
"Z12.4","Special screening examination for neoplasm of cervix"
"Z12.5","Special screening examination for neoplasm of prostate"
"Z12.6","Special screening examination for neoplasm of bladder"
"Z12.8","Special screening examination for neoplasms of other sites"
"Z12.9","Special screening examination for neoplasm, unspecified"
"Z13","Special screening examination for other diseases and disorders"
"Z13.0","Special screening examination disease blood and blood forming organs and certain disoders involving the immune mechanism"
"Z13.1","Special screening examination for diabetes mellitus"
"Z13.2","Special screening examination for nutritional disorders"
"Z13.3","Special screening examination for mental and behavioural disorders"
"Z13.4","Special screening examination certain development disorders in childhood"
"Z13.5","Special screening examination for eye and ear disorders"
"Z13.6","Special screening examination for cardiovascular disorders"
"Z13.7","Special screening examination for congenital malformations, deformations and chromosomal abnormalities"
"Z13.8","Special screening examination for other specified diseases and disorders"
"Z13.9","Special screening examination, unspecified"
"Z20","Contact with and exposure to communicable diseases"
"Z20.0","Contact with and exposure to intestinal infectious diseases"
"Z20.1","Contact with and exposure to tuberculosis"
"Z20.2","Contact with and exposure infection with a predominantly sex mode transmission"
"Z20.3","Contact with and exposure to rabies"
"Z20.4","Contact with and exposure to rubella"
"Z20.5","Contact with and exposure to viral hepatitis"
"Z20.6","Contact with and exposure to human immunodefic virus [HIV]"
"Z20.7","Contact with and exposure pediculosis acariasis and other infestations"
"Z20.8","Contact with and exposure to other communicable diseases"
"Z20.9","Contact with and exposure to unspecified communicable disease"
"Z21","Asymptomatic human immunodefic virus [hiv] infect status"
"Z22","Carrier of infectious disease"
"Z22.0","Carrier of typhoid"
"Z22.1","Carrier of other intestinal infectious diseases"
"Z22.2","Carrier of diphtheria"
"Z22.3","Carrier of other specified bacterial diseases"
"Z22.4","Carrier of infections with a predom sexual mode of transmission"
"Z22.5","Carrier of viral hepatitis"
"Z22.6","Carrier of human T-lymphotropic virus type-1 [HTLV-1] infection"
"Z22.8","Carrier of other infectious diseases"
"Z22.9","Carrier of infectious disease, unspecified"
"Z23","Need for immunization against single bacterial diseases"
"Z23.0","Need for immunization against cholera alone"
"Z23.1","Need for immuniz against typhoid-paratyphoid alone [TAB]"
"Z23.2","Need for immunization against tuberculosis [BCG]"
"Z23.3","Need for immunization against plague"
"Z23.4","Need for immunization against tularaemia"
"Z23.5","Need for immunization against tetanus alone"
"Z23.6","Need for immunization against diphtheria alone"
"Z23.7","Need for immunization against pertussis alone"
"Z23.8","Need for immunization against other single bacterial diseases"
"Z24","Need for immunization against certain single viral diseases"
"Z24.0","Need for immunization against poliomyelitis"
"Z24.1","Need for immunization against arthropod-borne viral encephalitis"
"Z24.2","Need for immunization against rabies"
"Z24.3","Need for immunization against yellow fever"
"Z24.4","Need for immunization against measles alone"
"Z24.5","Need for immunization against rubella alone"
"Z24.6","Need for immunization against viral hepatitis"
"Z25","Need for immunization against other single viral diseases"
"Z25.0","Need for immunization against mumps alone"
"Z25.1","Need for immunization against influenza"
"Z25.8","Need for immunization against oth specified single viral diseases"
"Z26","Need for immunization against other single infectious diseases"
"Z26.0","Need for immunization against leishmaniasis"
"Z26.8","Need for immunization against other specified single infectious diseases"
"Z26.9","Need for immunization against unspecified infectious disease"
"Z27","Need for immunization against combinations of infectious diseases"
"Z27.0","Need for immunization against cholera with typhoid-paratyphoid [cholera + TAB]"
"Z27.1","Need for immunization against diphtheria-tetanus-pertussis combined [DTP]"
"Z27.2","Need for immunization against diphtheria-tetanus-pertussis with typhoid-paratyph [DTP + TAB]"
"Z27.3","Need for immunization against diphtheria-tetanus-pertussis with poliomyelitis [DTP + polio]"
"Z27.4","Need for immunization against measles-mumps-rubella [MMR]"
"Z27.8","Need for immunization against other combinations of infectious diseases"
"Z27.9","Need for immunization against unspec combs of infectious diseases"
"Z28","Immunization not carried out"
"Z28.0","Immunization not carried out because of contraindication"
"Z28.1","Immunization not carried out because of patient's decision for reason of belief or group pressure"
"Z28.2","Immunization not carried out because patient's decision for other unspecified reasons"
"Z28.8","Immunization not carried out for other reasons"
"Z28.9","Immunization not carried out for unspecified reason"
"Z29","Need for other prophylactic measures"
"Z29.0","Isolation"
"Z29.1","Prophylactic immunotherapy"
"Z29.2","Other prophylactic chemotherapy"
"Z29.8","Other specified prophylactic measures"
"Z29.9","Prophylactic measure, unspecified"
"Z30","Contraceptive management"
"Z30.0","General counselling and advice on contraception"
"Z30.1","Insertion of (intrauterine) contraceptive device"
"Z30.2","Sterilization"
"Z30.3","Menstrual extraction"
"Z30.4","Surveillance of contraceptive drugs"
"Z30.5","Surveillance of (intrauterine) contraceptive device"
"Z30.8","Other contraceptive management"
"Z30.9","Contraceptive management, unspecified"
"Z31","Procreative management"
"Z31.0","Tuboplasty or vasoplasty after previous sterilization"
"Z31.1","Artificial insemination"
"Z31.2","In vitro fertilization"
"Z31.3","Other assisted fertilization methods"
"Z31.4","Procreative investigation and testing"
"Z31.5","Genetic counselling"
"Z31.6","General counselling and advice on procreation"
"Z31.8","Other procreative management"
"Z31.9","Procreative management, unspecified"
"Z32","Pregnancy examination and test"
"Z32.0","Pregnancy, not (yet) confirmed"
"Z32.1","Pregnancy confirmed"
"Z33","Pregnant state, incidental"
"Z34","Supervision of normal pregnancy"
"Z34.0","Supervision of normal first pregnancy"
"Z34.8","Supervision of other normal pregnancy"
"Z34.9","Supervision of normal pregnancy, unspecified"
"Z35","Supervision of high-risk pregnancy"
"Z35.0","Supervision of pregnancy with history of infertility"
"Z35.1","Supervision of pregnancy with history of abortive outcome"
"Z35.2","Supervision of pregnancy with other poor reproductive or obstetric history"
"Z35.3","Supervision of pregnancy with history insufficient antenatal care"
"Z35.4","Supervision of pregnancy with grand multiparity"
"Z35.5","Supervision of elderly primigravida"
"Z35.6","Supervision of very young primigravida"
"Z35.7","Supervision of high-risk pregnancy due to social problems"
"Z35.8","Supervision of other high-risk pregnancies"
"Z35.9","Supervision of high-risk pregnancy, unspecified"
"Z36","Antenatal screening"
"Z36.0","Antenatal screening for chromosomal anomalies"
"Z36.1","Antenatal screening for raised alphafetoprotein level"
"Z36.2","Other antenatal screening based on amniocentesis"
"Z36.3","Antenatal screening malformation using ultrasound and other physical methods"
"Z36.4","Antenatal screening fetal growth retardation using ultrasound oth physical methods"
"Z36.5","Antenatal screening for isoimmunization"
"Z36.8","Other antenatal screening"
"Z36.9","Antenatal screening, unspecified"
"Z37","Outcome of delivery"
"Z37.0","Single live birth"
"Z37.1","Single stillbirth"
"Z37.2","Twins, both liveborn"
"Z37.3","Twins, one liveborn and one stillborn"
"Z37.4","Twins, both stillborn"
"Z37.5","Other multiple births, all liveborn"
"Z37.6","Other multiple births, some liveborn"
"Z37.7","Other multiple births, all stillborn"
"Z37.9","Outcome of delivery, unspecified"
"Z38","Liveborn infants according to place of birth"
"Z38.0","Singleton, born in hospital"
"Z38.1","Singleton, born outside hospital"
"Z38.2","Singleton, unspecified as to place of birth"
"Z38.3","Twin, born in hospital"
"Z38.4","Twin, born outside hospital"
"Z38.5","Twin, unspecified as to place of birth"
"Z38.6","Other multiple, born in hospital"
"Z38.7","Other multiple, born outside hospital"
"Z38.8","Other multiple, unspecified as to place of birth"
"Z39","Postpartum care and examination"
"Z39.0","Care and examination immediately after delivery"
"Z39.1","Care and examination of lactating mother"
"Z39.2","Routine postpartum follow-up"
"Z40","Prophylactic surgery"
"Z40.0","Prophyl surgery for risk-factors related to mal neoplasms"
"Z40.8","Other prophylactic surgery"
"Z40.9","Prophylactic surgery, unspecified"
"Z41","Procedures for purposes other than remedying health state"
"Z41.0","Hair transplant"
"Z41.1","Other plastic surgery for unacceptable cosmetic appearance"
"Z41.2","Routine and ritual circumcision"
"Z41.3","Ear piercing"
"Z41.8","Other procedures for purposes other than remedying health state"
"Z41.9","Procedures for purposes other than remedying health state, unspecified"
"Z42","Follow-up care involving plastic surgery"
"Z42.0","Follow-up care involving plastic surgery of head and neck"
"Z42.1","Follow-up care involving plastic surgery of breast"
"Z42.2","Follow-up care involving plastic surgery of ther parts of trunk"
"Z42.3","Follow-up care involving plastic surgery of upper extremity"
"Z42.4","Follow-up care involving plastic surgery of lower extremity"
"Z42.8","Follow-up care involving plastic surgery of other body part"
"Z42.9","Follow-up care involving plastic surgery, unspecified"
"Z43","Attention to artificial openings"
"Z43.0","Attention to tracheostomy"
"Z43.1","Attention to gastrostomy"
"Z43.2","Attention to ileostomy"
"Z43.3","Attention to colostomy"
"Z43.4","Attention to other artificial openings of digestive tract"
"Z43.5","Attention to cystostomy"
"Z43.6","Attention to other artificial openings of urinary tract"
"Z43.7","Attention to artificial vagina"
"Z43.8","Attention to other artificial openings"
"Z43.9","Attention to unspecified artificial opening"
"Z44","Fitting and adjustment of external prosthetic device"
"Z44.0","Fitting and adjustment of artificial arm (complete)(partial)"
"Z44.1","Fitting and adjustment of artificial leg (complete)(partial)"
"Z44.2","Fitting and adjustment of artificial eye"
"Z44.3","Fitting and adjustment of external breast prosthesis"
